Row Labels,Min of Download
07/13/19,4.44
07/14/19,3.95
07/15/19,3.31
07/16/19,4.3
07/17/19,4.38
07/18/19,4.66
07/19/19,4.44
07/20/19,4.27
07/21/19,3.89
07/22/19,3.59
07/23/19,5.02
07/24/19,5.38
07/25/19,5.69
07/26/19,3.58
07/29/19,2.05
07/30/19,4.63
07/31/19,4.16
08/13/19,4.45
08/14/19,4.12
08/15/19,4.25
08/16/19,2.99
08/17/19,4.56
08/18/19,5.26
08/19/19,1.51
08/20/19,5.1
08/21/19,4.45
08/22/19,2.95
08/23/19,4.15
08/24/19,4.23
08/25/19,4.69
08/26/19,5.29
08/01/2019,4.74
08/02/2019,3.88
08/03/2019,1.96
08/04/2019,4.82
08/05/2019,5.09
08/06/2019,4.01
08/07/2019,3.5
08/08/2019,4.7
08/09/2019,4.59
08/10/2019,4.35
07/11/2019,4.58
08/11/2019,2.09
07/12/2019,5.22
08/12/2019,4.02
(blank),
Grand Total,1.51
